2020-09-19,10:15:10,0.0,0.0,0.0
2020-09-19,11:06:23,0.0,0.0,0.0
2020-09-19,11:10:06,21,53,True,True
2020-09-19,11:28:30,21,53,True,True
2020-09-19,11:33:05,21,53,True,True
2020-09-19,11:36:24,21,53,True,True
2020-09-19,12:10:23,21,53,True,True
2020-09-19,12:24:00,21,53,True,True
2020-09-19,12:24:29,21,53,True,True
2020-09-19,12:31:40,21,53,True,True
2020-09-19,12:40:09,21,53,True,True
2020-09-19,12:44:10,21,53,True,True
2020-09-19,18:32:37,21,53,True,True
2020-09-19,19:28:27,21,53,True,True
2020-09-19,19:29:52,21,53,True,True
2020-09-19,19:31:21,21,53,True,True
2020-09-19,19:31:49,21,53,True,True
2020-09-19,19:47:40,21,53,True,True
2020-09-19,19:48:46,21,53,True,True
2020-09-19,19:55:58,21,53,True,True
2020-09-19,20:05:20,21,53,True,True
2020-09-19,20:08:09,21,53,True,True
2020-09-19,20:08:38,21,53,True,True
2020-09-19,20:12:52,21,53,True,True
2020-09-19,20:13:28,21,53,True,True
2020-09-19,21:36:03,21,53,True,True
2020-09-19,21:36:32,21,53,True,True
2020-09-19,21:49:56,21,53,True,True
2020-09-20,10:28:57,21,53,True,True
2020-09-20,10:47:33,21,53,True,True
2020-09-20,10:49:37,21,53,True,True
2020-09-20,10:49:50,21,53,True,True
2020-09-20,10:50:27,21,53,True,True
2020-09-20,10:53:48,21,53,True,True
2020-09-20,10:56:30,21,53,True,True
2020-09-20,10:58:01,21,53,True,True
2020-09-20,10:59:28,21,53,True,True
2020-09-20,11:00:33,21,53,True,True
2020-09-20,11:01:13,21,53,True,True
2020-09-20,11:09:58,21,53,True,True
2020-09-20,11:13:55,21,53,True,True
2020-09-20,11:14:53,21,53,True,True
2020-09-20,11:15:11,21,53,True,True
2020-09-20,11:15:35,21,53,True,True
2020-09-20,11:16:27,21,53,True,True
2020-09-20,11:27:05,21,53,True,True
2020-09-20,11:27:20,21,53,True,True
2020-09-20,11:32:49,21,53,True,True
2020-09-20,11:33:58,21,53,True,True
2020-09-20,11:35:27,21,53,True,True
2020-09-20,11:36:25,21,53,True,True
2020-09-20,11:44:33,21,53,True,True
2020-09-20,11:47:42,21,53,True,True
2020-09-20,11:55:11,21,53,True,True
2020-09-20,11:53:55,21,53,True,True
2020-09-20,11:55:08,21,53,True,True
2020-09-20,11:57:28,21,53,True,True
2020-09-20,12:11:58,21,53,True,True
2020-09-20,12:16:00,21,53,True,True
2020-09-20,12:21:23,21,53,True,True
2020-09-20,12:23:07,21,53,True,True
2020-09-20,12:24:15,21,53,True,True
2020-09-20,12:24:55,21,53,True,True
2020-09-20,12:25:17,21,53,True,True
2020-09-20,12:27:14,21,53,True,True
2020-09-20,12:27:35,21,53,True,True
2020-09-20,12:29:50,21,53,True,True
2020-09-20,12:32:58,21,53,True,True
2020-09-20,12:34:48,21,53,True,True
2020-09-20,12:43:51,21,53,True,True
2020-09-20,12:44:25,21,53,True,True
2020-09-20,12:46:26,21,53,True,True
2020-09-20,12:47:48,21,53,True,True
2020-09-20,12:48:34,21,53,True,True
2020-09-20,13:15:40,21,53,True,True
2020-09-20,13:28:03,21,53,True,True
2020-09-20,13:28:55,21,53,True,True
2020-09-20,13:46:07,21,53,True,True
2020-09-20,16:03:58,21,53,True,True
2020-09-20,16:06:46,21,53,True,True
2020-09-20,16:08:03,21,53,True,True
2020-09-20,16:09:35,21,53,True,True
2020-09-20,17:03:53,21,53,True,True
2020-09-20,17:09:11,21,53,True,True
2020-09-20,17:09:55,21,53,True,True
2020-09-20,17:12:01,21,53,True,True
2020-09-20,17:15:24,21,53,True,True
2020-09-20,23:09:49,0,0,False,False
2020-09-20,23:11:52,21.1,53.0,True,False
2020-09-21,18:33:32,0,0,False,False
2020-09-21,18:38:04,0,0,False,False
2020-09-21,18:50:23,0,0,False,False
2020-09-21,18:51:26,0,0,False,False
2020-09-21,18:52:33,0,0,False,False
2020-09-21,18:53:04,0,0,False,False
2020-09-21,18:56:31,0,0,False,False
2020-09-21,18:57:50,0,0,False,False
2020-09-21,18:58:34,0,0,False,False
2020-09-21,19:01:24,0,0,False,False
2020-09-21,19:16:48,0,0,False,False
2020-09-21,19:17:56,0,0,False,False
2020-09-21,20:22:09,0,0,False,False
2020-09-21,20:26:48,0,0,False,False
2020-09-21,20:35:10,0,0,False,False
2020-09-21,20:35:59,0,0,False,False
2020-09-21,20:36:39,0,0,False,False
2020-09-21,20:41:19,0,0,False,False
2020-09-21,20:43:13,0,0,False,False
2020-09-21,21:11:35,0,0,False,False
2020-09-21,21:12:51,0,0,False,False
2020-09-21,21:14:14,0,0,False,False
2020-09-21,21:41:00,0,0,False,False
2020-09-21,21:48:17,0,0,False,False
2020-09-21,21:52:47,0,0,False,False
2020-09-21,21:53:32,0,0,False,False
2020-09-21,21:57:52,0,0,False,False
2020-09-21,22:00:04,0,0,False,False
2020-09-21,22:12:54,0,0,False,False
2020-09-21,22:15:00,0,0,False,False
2020-09-21,22:16:40,0,0,False,False
2020-09-21,22:17:54,0,0,False,False
2020-09-21,22:18:43,0,0,False,False
2020-09-21,22:19:01,0,0,False,False
2020-09-21,22:25:18,21.1,53.0,True,False
2020-09-21,22:29:07,21.1,53.0,True,False
2020-09-21,22:31:35,0,0,False,False
2020-09-21,22:32:39,21.1,53.0,True,False
2020-09-21,22:32:39,21.1,53.0,True,False
2020-09-21,22:33:12,21.1,53.0,True,False
2020-09-21,22:35:04,21.1,53.0,True,False
2020-09-21,22:35:04,21.1,53.0,True,False
2020-09-21,22:35:04,21.1,53.0,True,False
2020-09-21,22:35:04,21.1,53.0,True,False
2020-09-21,22:38:11,21.1,53.0,True,True
2020-09-21,22:38:11,21.1,53.0,True,True
2020-09-21,22:38:11,21.1,53.0,True,True
2020-09-21,22:38:11,21.1,53.0,True,True
2020-09-21,22:38:11,21.1,53.0,True,True
2020-09-21,22:38:11,21.1,53.0,True,True
2020-09-21,22:40:44,21.1,53.0,True,False
2020-09-21,22:40:44,21.1,53.0,True,False
2020-09-21,22:40:44,21.1,53.0,True,False
2020-09-21,22:40:44,21.1,53.0,True,False
2020-09-21,22:40:44,21.1,53.0,True,False
2020-09-21,22:44:30,0,0,False,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:48:23,21.1,53.0,True,False
2020-09-21,22:58:24,0,0,False,False
2020-09-21,22:58:24,0,0,False,False
2020-09-21,22:59:08,0,0,False,False
2020-09-21,23:02:50,0,0,False,False
2020-09-21,23:03:35,21.1,53.0,True,False
2020-09-21,23:03:35,21.1,53.0,True,False
2020-09-21,23:04:01,21.1,53.0,True,False
2020-09-21,23:04:30,21.1,53.0,True,False
2020-09-21,23:08:39,0,0,False,False
2020-09-21,23:09:05,21.1,53.0,True,False
2020-09-21,23:09:46,21.1,53.0,True,False
2020-09-21,23:10:17,21.1,53.0,True,False
2020-09-21,23:12:18,0,0,False,False
2020-09-21,23:12:44,21.1,53.0,True,False
2020-09-21,23:15:36,0,0,False,False
2020-09-21,23:15:55,21.1,53.0,True,False
2020-09-21,23:16:24,21.1,53.0,True,False
2020-09-21,23:16:54,21.1,53.0,True,False
2020-09-21,23:17:24,21.1,53.0,True,False
2020-09-21,23:18:11,21.1,53.0,True,False
2020-09-21,23:19:10,21.1,53.0,True,True
2020-09-21,23:19:10,21.1,53.0,True,True
2020-09-21,23:19:38,21.1,53.0,True,True
2020-09-21,23:19:58,21.1,53.0,True,True
2020-09-21,23:29:30,0,0,False,False
2020-09-21,23:30:14,0,0,False,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:46:52,21.1,53.0,True,False
2020-09-21,23:47:27,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:21,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:22,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
2020-09-22,08:26:23,21.1,53.0,True,False
